,ARMA-ARCH-before,ARMA-ARCH-update,ARIMA-before,ARIMA-update,GAM-before,GAM-update,LM-before,LM-update,LSTM-before,LSTM-update,benchmark
114,84.1130766911343,214.108832740655,-1.97691157355488,158.816039201926,18.5691176784521,153.716449968702,98.8353538095613,226.988163507989,83.6023272302646,216.723895163478,111.642899696076
115,85.0180922088433,214.070550725195,-2.33513278769371,157.198603125395,17.1667184237536,151.668970133079,96.4818803440997,223.841030860302,83.6247031636046,215.668524585339,105.044394625659
116,82.8158912015081,213.830068044127,-3.11334165808313,158.88066971358,17.2092154949867,153.45030297242,99.0226123302076,227.416592331667,81.2914951548441,215.464333221911,102.987274503199
117,84.3833271754814,219.393160278364,1.19171799639308,166.209580070124,18.4890046285289,159.369076321271,101.781366194924,233.990647980719,81.174468914779,219.716850889443,107.296939384266
118,71.9253102724727,213.024884121933,-10.821129756172,160.027388697334,16.3603178344934,157.442354104884,95.9258035091474,230.346840792601,76.472802650842,216.694463842427,111.416990802182
119,71.63689813359,212.27572392972,-12.8896599376088,158.385003404764,14.3712697506231,155.71293248224,90.6033202107878,227.233266218659,73.6786082904688,214.522123665782,105.538161358459
120,73.4304557956325,214.160588715651,-10.8750246684282,160.42250594599,16.4684264524046,157.885017322831,91.8847918574998,228.820793635355,75.9458163031683,216.808590273579,96.2506950162489
121,72.366679476682,213.47248232475,-13.8238169110002,157.762568560206,16.9611115819234,158.386280607716,82.6590578904025,219.65990708347,66.3708849339429,207.335393556214,98.4476059976101
122,83.8975512271176,225.183971018947,-7.71243073593009,164.17247109738,21.6533500061202,163.099744160258,82.9266888370514,220.844190950323,67.4248466988771,209.140233124336,91.6744539281996
123,84.6839133699598,226.150280491391,-6.88884632436156,165.393201456644,23.1281361280209,164.762709015115,84.780957825905,222.712441712475,67.8676052067507,209.826489167883,97.990682584233
124,81.1813945688874,222.38439294251,-2.75592718322795,168.611603783497,27.736369486549,168.469227486317,90.7106519175237,228.126099567777,86.8463107291962,228.660631877521,99.3991621707206
